"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"XM_071954564.1" 34.3861467161317 21.4079283355021 3.70368943485882 5.78016291917255 7.46283208087994e-09 1.30930658895044e-06
"XM_071954634.1" 25.8548235367324 3.41175883296604 1.11413290159384 3.06225480648252 0.00219676366096944 0.0421633074620429
"XM_071954792.1" 26.3164777019747 6.54243297381779 1.4798795739391 4.42092254601727 9.82803997695761e-06 0.000458513033606639
"XM_071954801.1" 23.7086056879116 -20.8030779612848 4.24911360057847 -4.89586297679891 9.78752497570755e-07 6.23462613787109e-05
"XM_071954832.1" 182.582903906261 -10.0310973564806 2.47877772886885 -4.04679178760336 5.19243886363381e-05 0.0019749500673238
"XM_071954841.1" 5019.96375443248 4.1841205471058 0.744905919708348 5.61697851554731 1.94325574514975e-08 2.95197136456803e-06
"XM_071954842.1" 413.66635660914 8.84368197317128 1.74327947249038 5.07301446080676 3.91562730973424e-07 3.10668863590475e-05
"XM_071954891.1" 50.2287942115157 9.78419368944538 1.50401410975519 6.5053869016149 7.7493668466243e-11 2.32602381024038e-08
"XM_071954914.1" 361.561906316092 -2.26158076097177 0.493722018756346 -4.58067632200918 4.63474677595822e-06 0.000234209830485694
"XM_071955000.1" 24.7683606961491 -6.96037138124351 1.59311836999173 -4.3690233647106 1.24803414909899e-05 0.000568414529369344
"XM_071955029.1" 61.9016241338269 21.5451736305079 4.02866664789017 5.3479663406232 8.89480016730646e-08 9.59290721074051e-06
"XM_071955037.1" 112.110473302684 21.5967029314101 3.90696618648796 5.52774247345707 3.2437773212466e-08 4.32150932642869e-06
"XM_071955040.1" 88.7668846507179 23.1188865757154 4.24769667785124 5.44268772680124 5.24826041296297e-08 6.22618626991173e-06
"XM_071955055.1" 14.9099473408191 2.49309864730786 0.806335909839463 3.09188592109735 0.00198889266793246 0.0392936423760519
"XM_071955084.1" 12.4961247140298 4.49139150326772 1.29445971685361 3.46970357191551 0.000521033056081581 0.0137943640022959
"XM_071955126.1" 260.301542054876 -1.47092724794454 0.49020232995446 -3.00065331815372 0.00269401092078762 0.0486347058475232
"XM_071955190.1" 125.17417404596 8.91927494569617 2.93716330653828 3.03669698100932 0.00239185770624472 0.0449723404042827
"XM_071955193.1" 439.504132583163 3.68775681605644 1.14471763588024 3.22154276344377 0.00127502433443602 0.0283107675969737
"XM_071955230.1" 30.5867712307815 -20.1037086993431 4.24820445795146 -4.73228369734288 2.22007827829306e-06 0.000121557824499154
"XM_071955244.1" 1167.89624986275 3.90801600135704 0.959405256528898 4.07337355592165 4.63370131622467e-05 0.00178698762989327
"XM_071955270.1" 69.3039845324589 -23.4701256857729 3.80389874970287 -6.17001850735543 6.82819999157815e-10 1.62010425133511e-07
"XM_071955271.1" 63.667594941671 -22.3421927719572 4.24770307575963 -5.25982922381213 1.44189251948836e-07 1.40870071913779e-05
